# x	AxA	BxB	3Ax4B	4Ax3B
-7.740799999999941065e+03 1.000000091230710986e+00 1.000000111145684878e+00 9.999999003999292535e-01 1.000000032897517821e+00
-7.739199999999940701e+03 1.000000072086000946e+00 1.000000068667846520e+00 9.999999171074773763e-01 1.000000025167750772e+00
-7.737599999999940337e+03 1.000000079574555611e+00 1.000000036666572223e+00 9.999999362435230132e-01 9.999999821449011561e-01
-7.735999999999939973e+03 1.000000095140481049e+00 1.000000022933732691e+00 9.999999736139897344e-01 9.999999396917537142e-01
-7.734399999999939610e+03 1.000000084632673092e+00 1.000000049529395918e+00 1.000000006860221502e+00 9.999999118116831287e-01
-7.732799999999939246e+03 1.000000076660534143e+00 1.000000056604690046e+00 1.000000047135874537e+00 9.999998908623938254e-01
-7.731199999999938882e+03 1.000000091904484911e+00 1.000000089592575359e+00 1.000000094194563927e+00 9.999998742519083939e-01
-7.729599999999938518e+03 1.000000114204392831e+00 1.000000090790087226e+00 1.000000139638796970e+00 9.999998540912450329e-01
-7.727999999999938154e+03 1.000000105749016432e+00 1.000000074088424729e+00 1.000000190958007851e+00 9.999998594423812337e-01
-7.726399999999937791e+03 1.000000048344173331e+00 1.000000039483667003e+00 1.000000215560610695e+00 9.999998807343514207e-01
-7.724799999999937427e+03 9.999999806683558257e-01 9.999999984771102968e-01 1.000000183056133363e+00 9.999998979224241635e-01
-7.723199999999937063e+03 9.999998911697354220e-01 9.999999716879132139e-01 1.000000115712426974e+00 9.999999125468860273e-01
-7.721599999999936699e+03 9.999998336370654606e-01 9.999999626261576458e-01 1.000000022308331626e+00 9.999999327122975901e-01
-7.719999999999936335e+03 9.999998042307136625e-01 9.999999384996633989e-01 9.999999808293990045e-01 9.999999535133031747e-01
-7.718399999999935972e+03 9.999998043135115422e-01 9.999999223692337402e-01 9.999999584594241320e-01 9.999999801976522384e-01
-7.716799999999935608e+03 9.999998199027569923e-01 9.999999132377139777e-01 9.999999594421872251e-01 1.000000016575689932e+00
-7.715199999999935244e+03 9.999998354320127625e-01 9.999999133176369348e-01 9.999999799473930917e-01 1.000000038480053810e+00
-7.713599999999934880e+03 9.999998832254424208e-01 9.999999506649489556e-01 1.000000017477965297e+00 1.000000038850770157e+00
-7.711999999999934516e+03 9.999999055710746543e-01 9.999999749966210771e-01 1.000000036971757211e+00 1.000000011649607501e+00
-7.710399999999934153e+03 9.999999273255606447e-01 9.999999927516012299e-01 1.000000020695408276e+00 9.999999737754189377e-01
-7.708799999999933789e+03 9.999999117442919250e-01 1.000000001718404086e+00 9.999999884019369345e-01 9.999999481831143289e-01
-7.707199999999933425e+03 9.999999154453066419e-01 1.000000028022696830e+00 9.999999675740048888e-01 9.999999524815792462e-01
-7.705599999999933061e+03 9.999999439565203652e-01 1.000000052820399610e+00 1.000000010966781039e+00 9.999999861160404624e-01
-7.703999999999932697e+03 9.999999526118763526e-01 1.000000064411313172e+00 1.000000071336065055e+00 1.000000036427141747e+00
-7.702399999999932334e+03 9.999999220357486118e-01 1.000000072257486217e+00 1.000000126922539589e+00 1.000000070498186178e+00
-7.700799999999931970e+03 9.999998795906388516e-01 1.000000078409337911e+00 1.000000189357234559e+00 1.000000061396229434e+00
-7.699199999999931606e+03 9.999999131409423869e-01 1.000000099746847448e+00 1.000000203642424701e+00 1.000000024334028126e+00
-7.697599999999931242e+03 1.000000017976474753e+00 1.000000111699850036e+00 1.000000204685201233e+00 9.999999719739265380e-01
-7.695999999999930878e+03 1.000000104051883776e+00 1.000000090565491773e+00 1.000000202250338699e+00 9.999999186861038281e-01
-7.694399999999930515e+03 1.000000143108597417e+00 1.000000090753986992e+00 1.000000195829968241e+00 9.999998799927677373e-01
-7.692799999999930151e+03 1.000000118173433039e+00 1.000000073284168067e+00 1.000000179694568780e+00 9.999998579856724801e-01
-7.691199999999929787e+03 1.000000057140689735e+00 1.000000079955490673e+00 1.000000152181955038e+00 9.999998573458310780e-01
-7.689599999999929423e+03 1.000000028985986944e+00 1.000000076607364674e+00 1.000000126833658909e+00 9.999998671086556268e-01
-7.687999999999929059e+03 1.000000023503594626e+00 1.000000075436530578e+00 1.000000088936142006e+00 9.999998859117577021e-01
-7.686399999999928696e+03 1.000000022114203801e+00 1.000000079385038765e+00 1.000000056173366181e+00 9.999999159607131372e-01
-7.684799999999928332e+03 1.000000051907751430e+00 1.000000075742724315e+00 1.000000058038811979e+00 9.999999508313915930e-01
-7.683199999999927968e+03 1.000000107809021710e+00 1.000000084502310482e+00 1.000000084094724295e+00 9.999999845727417513e-01
-7.681599999999927604e+03 1.000000120448644836e+00 1.000000076783703618e+00 1.000000091004180858e+00 9.999999994341841614e-01
-7.679999999999927240e+03 1.000000143276950748e+00 1.000000080709474659e+00 1.000000056543682625e+00 1.000000009976970805e+00
-7.678399999999926877e+03 1.000000155137181990e+00 1.000000089409377679e+00 1.000000033267749222e+00 1.000000005457525987e+00
-7.676799999999926513e+03 1.000000162133162895e+00 1.000000084454196747e+00 9.999999962051588920e-01 1.000000001260102023e+00
-7.675199999999926149e+03 1.000000158795770311e+00 1.000000100723549723e+00 9.999999214558520366e-01 1.000000018115669409e+00
-7.673599999999925785e+03 1.000000134109565231e+00 1.000000107135360139e+00 9.999998702696905051e-01 1.000000052782094473e+00
-7.671999999999925421e+03 1.000000148359590169e+00 1.000000104468659501e+00 9.999998922359794040e-01 1.000000074146384366e+00
-7.670399999999925058e+03 1.000000156156816589e+00 1.000000097759434992e+00 9.999999167803320654e-01 1.000000059466770619e+00
-7.668799999999924694e+03 1.000000104956852542e+00 1.000000073783299248e+00 9.999999672001734785e-01 1.000000019723473299e+00
-7.667199999999924330e+03 1.000000075206844308e+00 1.000000060159877746e+00 9.999999955112355288e-01 9.999999635745796533e-01
-7.665599999999923966e+03 1.000000041813446039e+00 1.000000044487203255e+00 1.000000044264400145e+00 9.999999052941793698e-01
-7.663999999999923602e+03 1.000000043364763780e+00 1.000000048527354579e+00 1.000000080134901603e+00 9.999998431577583613e-01
-7.662399999999923239e+03 1.000000060001655200e+00 1.000000015292534572e+00 1.000000082793512490e+00 9.999997909701507925e-01
-7.660799999999922875e+03 1.000000115197480444e+00 9.999999890035051742e-01 1.000000084248828358e+00 9.999997466890737652e-01
-7.659199999999922511e+03 1.000000147696221253e+00 9.999999468982250228e-01 1.000000074467651601e+00 9.999997120732135869e-01
-7.657599999999922147e+03 1.000000130489018257e+00 9.999999250829797459e-01 1.000000051360545150e+00 9.999997009090906275e-01
-7.655999999999921783e+03 1.000000095876632633e+00 9.999999244949295818e-01 1.000000031150956925e+00 9.999997093840835571e-01
-7.654399999999921420e+03 1.000000097068969085e+00 9.999999325288037033e-01 1.000000011483909157e+00 9.999997297464489066e-01
-7.652799999999921056e+03 1.000000125569419751e+00 9.999999415499075672e-01 1.000000028740868130e+00 9.999997505166063894e-01
-7.651199999999920692e+03 1.000000179763962382e+00 9.999999399675099099e-01 1.000000072769916093e+00 9.999997912218593354e-01
-7.649599999999920328e+03 1.000000214221058448e+00 9.999999343835139776e-01 1.000000133706720362e+00 9.999998456706096217e-01
-7.647999999999919964e+03 1.000000201584998694e+00 9.999999560458157077e-01 1.000000168473231588e+00 9.999999022502700230e-01
-7.646399999999919601e+03 1.000000160273397443e+00 9.999999869051440227e-01 1.000000189757591418e+00 9.999999635369559714e-01
-7.644799999999919237e+03 1.000000102333022278e+00 1.000000002938833399e+00 1.000000195911209255e+00 1.000000017786874640e+00
-7.643199999999918873e+03 1.000000069104325373e+00 1.000000008978904065e+00 1.000000209010611929e+00 1.000000066044394398e+00
-7.641599999999918509e+03 1.000000074849010545e+00 1.000000021156210117e+00 1.000000190750905071e+00 1.000000102136764824e+00
-7.639999999999918145e+03 1.000000080983209916e+00 1.000000046394173836e+00 1.000000170806610411e+00 1.000000117687177781e+00
-7.638399999999917782e+03 1.000000065701734053e+00 1.000000087459092635e+00 1.000000123593050239e+00 1.000000096762047486e+00
